epoch,time(s),train_loss,test_loss,test_acc(%)
168,00018,0.013192,1.18345,94.46
169,00018,0.014724,1.18652,94.58
170,00018,0.016383,1.18612,94.68
171,00019,0.019068,1.18515,94.52
172,00019,0.023497,1.18870,94.63
173,00024,0.019639,1.18235,94.62
174,00020,0.011161,1.18836,94.33
175,00018,0.024119,1.18856,94.44
176,00018,0.012142,1.18012,94.63
177,00018,0.010863,1.19289,94.43
178,00018,0.008500,1.18008,94.59
179,00018,0.014555,1.19251,94.59
180,00018,0.013990,1.19045,94.57
181,00018,0.016552,1.19643,94.63
182,00018,0.024380,1.19352,94.54
183,00019,0.019927,1.19689,94.58
184,00018,0.014085,1.20464,94.47
185,00018,0.012427,1.19648,94.48
186,00018,0.011882,1.20121,94.63
187,00018,0.016883,1.19964,94.66
188,00018,0.010855,1.20670,94.48
189,00018,0.009157,1.21321,94.51
190,00018,0.015477,1.20879,94.46
191,00018,0.011326,1.21207,94.42
192,00019,0.013286,1.20534,94.52
193,00019,0.008325,1.20999,94.50
194,00019,0.015777,1.22038,94.60
195,00018,0.019990,1.22225,94.59
196,00018,0.015632,1.22198,94.46
197,00020,0.008054,1.22534,94.57
198,00018,0.018808,1.21018,94.43
199,00018,0.006924,1.21996,94.40
200,00018,0.010893,1.22181,94.50
